# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_2[1] c_2[2] c_2[3] c_2[4] c_2[5] c_2[6] c_2[7] c_2[8] c_2[9] c_2[10] c_2[11]
8000000 250
197 11.79 1.01144 124.563 0.992927 124.937 0.99302 124.006 0.954441 94.4128 0.96576 105.319
198 11.85 1.00787 126.485 0.991874 126.825 0.990242 125.89 0.958708 96.2422 0.967906 107.162
199 11.91 1.00463 128.421 0.990758 128.73 0.987503 127.788 0.962177 98.0968 0.96787 109.023
200 11.97 1.00103 130.369 0.989899 130.653 0.985719 129.702 0.968186 99.9819 0.972454 110.912
201 12.03 0.998066 132.33 0.989236 132.594 0.984034 131.632 0.969292 101.888 0.976755 112.829
202 12.09 0.994868 134.305 0.988436 134.553 0.983398 133.579 0.970844 103.816 0.981421 114.774
203 12.15 0.991865 136.294 0.988252 136.531 0.982073 135.544 0.971907 105.766 0.98252 116.74
204 12.21 0.989783 138.298 0.988328 138.529 0.981387 137.526 0.970375 107.732 0.989374 118.74
205 12.27 0.987355 140.316 0.98824 140.546 0.9812 139.528 0.96987 109.716 0.996683 120.775
206 12.33 0.986387 142.353 0.988662 142.584 0.981713 141.55 0.97003 111.72 1.00127 122.838
207 12.39 0.984504 144.406 0.989625 144.644 0.981922 143.593 0.96947 113.742 1.00591 124.932
208 12.45 0.983601 146.476 0.99036 146.725 0.982798 145.657 0.967821 115.781 1.01381 127.063
209 12.51 0.983558 148.567 0.99143 148.829 0.983556 147.743 0.965838 117.834 1.0167 129.22
210 12.57 0.983084 150.676 0.99241 150.955 0.984442 149.851 0.964416 119.905 1.02607 131.418
211 12.63 0.983317 152.806 0.993666 153.104 0.986237 151.983 0.964874 121.997 1.02954 133.644
212 12.69 0.983846 154.958 0.995173 155.276 0.9873 154.137 0.963504 124.105 1.03551 135.905
213 12.75 0.984641 157.132 0.996624 157.473 0.98897 156.315 0.961994 126.23 1.04064 138.199
214 12.81 0.985871 159.329 0.998224 159.694 0.990377 158.518 0.961816 128.375 1.04428 140.522
215 12.87 0.987349 161.55 0.9999 161.939 0.992093 160.744 0.961311 130.538 1.04784 142.875
216 12.93 0.988717 163.795 1.00122 164.209 0.994083 162.996 0.961105 132.722 1.04832 145.252
217 12.99 0.990802 166.065 1.0024 166.502 0.995371 165.272 0.962889 134.929 1.05017 147.654
218 13.05 0.992809 168.362 1.00382 168.82 0.996474 167.572 0.96023 137.152 1.04993 150.078
219 13.11 0.994143 170.682 1.00467 171.161 0.998223 169.897 0.966944 139.41 1.04806 152.521
220 13.17 0.996846 173.03 1.00583 173.526 0.999682 172.246 0.96938 141.695 1.04856 154.986
221 13.23 0.998729 175.404 1.00702 175.916 1.00086 174.62 0.971459 144.005 1.04843 157.474
